"room_type","reviews","overall_satisfaction","accommodates","bedrooms","price"
"Entire home/apt",1,0,7,3,210
"Entire home/apt",84,5,6,3,186
"Entire home/apt",18,5,6,3,223
"Entire home/apt",2,0,6,2,174
"Entire home/apt",63,5,4,2,215
"Entire home/apt",56,5,4,1,206
"Entire home/apt",61,5,4,2,138
"Entire home/apt",17,5,2,1,131
"Entire home/apt",37,4.5,6,2,114
"Entire home/apt",38,5,6,2,141
"Entire home/apt",11,5,6,3,255
"Entire home/apt",23,5,2,1,150
"Entire home/apt",34,4.5,4,2,118
"Entire home/apt",121,5,5,2,210
"Entire home/apt",2,0,6,3,140
"Entire home/apt",1,0,4,2,190
"Entire home/apt",219,5,4,2,156
"Entire home/apt",98,4.5,4,2,173
"Entire home/apt",36,5,4,1,169
"Entire home/apt",24,5,4,2,187
"Entire home/apt",15,5,2,1,198
"Entire home/apt",5,5,4,2,257
"Entire home/apt",26,5,5,1,128
"Entire home/apt",53,4,5,2,204
"Entire home/apt",150,4.5,4,2,98
"Entire home/apt",9,4,3,1,132
"Entire home/apt",23,5,4,1,171
"Entire home/apt",30,5,4,1,148
"Entire home/apt",45,5,2,1,220
"Entire home/apt",16,5,4,2,167
"Entire home/apt",10,5,6,2,111
"Entire home/apt",5,4.5,2,1,145
"Entire home/apt",2,0,4,1,101
"Entire home/apt",1,0,2,1,102
"Entire home/apt",51,5,4,1,176
"Entire home/apt",23,5,4,2,97
"Entire home/apt",2,0,2,1,120
"Entire home/apt",6,5,4,0,128
"Entire home/apt",22,5,4,1,152
"Entire home/apt",72,5,4,2,101
"Entire home/apt",48,5,10,3,200
"Entire home/apt",100,5,4,2,156
"Entire home/apt",9,5,3,2,116
"Entire home/apt",53,5,4,2,175
"Entire home/apt",95,5,4,1,149
"Entire home/apt",2,0,2,1,139
"Entire home/apt",181,5,2,1,159
"Entire home/apt",117,5,6,2,108
"Entire home/apt",5,5,5,2,173
"Entire home/apt",92,5,2,1,173
"Entire home/apt",67,5,4,2,119
"Entire home/apt",75,5,2,1,154
"Entire home/apt",35,5,2,1,170
"Entire home/apt",127,5,2,1,129
"Entire home/apt",27,5,2,1,92
"Entire home/apt",4,4.5,4,2,125
"Entire home/apt",0,0,4,1,106
"Entire home/apt",1,0,4,2,210
"Entire home/apt",1,0,2,1,96
"Entire home/apt",196,5,4,1,134
"Entire home/apt",30,5,4,2,102
"Entire home/apt",17,5,4,2,187
"Entire home/apt",22,5,4,1,165
"Entire home/apt",7,5,2,1,109
"Entire home/apt",56,5,2,1,99
"Entire home/apt",73,5,2,1,164
"Entire home/apt",51,5,4,1,152
"Entire home/apt",32,5,4,2,151
"Entire home/apt",3,5,2,1,102
"Entire home/apt",11,5,4,2,111
"Entire home/apt",19,5,4,1,131
"Entire home/apt",0,0,4,2,136
"Entire home/apt",156,5,3,0,103
"Entire home/apt",2,0,3,1,92
"Entire home/apt",50,5,2,1,89
"Entire home/apt",112,4.5,4,1,130
"Entire home/apt",54,5,2,1,128
"Entire home/apt",45,4.5,2,1,85
"Entire home/apt",315,5,2,1,82
"Entire home/apt",56,5,2,1,98
"Entire home/apt",98,5,4,1,137
"Entire home/apt",14,4.5,2,1,117
"Entire home/apt",6,5,2,1,129
"Entire home/apt",6,5,4,1,131
"Entire home/apt",4,4.5,5,3,151
"Entire home/apt",12,5,3,2,119
"Entire home/apt",29,5,2,1,178
"Entire home/apt",3,5,2,1,129
"Entire home/apt",16,5,2,0,148
"Entire home/apt",5,5,2,0,148
"Entire home/apt",34,5,2,1,128
"Entire home/apt",161,4.5,3,1,182
"Entire home/apt",61,5,4,1,121
"Entire home/apt",23,5,2,1,160
"Entire home/apt",115,5,4,2,144
"Entire home/apt",119,5,4,2,151
"Entire home/apt",43,5,2,1,106
"Entire home/apt",203,5,2,1,144
"Entire home/apt",60,5,2,1,158
"Entire home/apt",49,5,4,1,79
"Entire home/apt",29,5,5,2,123
"Entire home/apt",31,5,2,1,142
"Entire home/apt",75,5,5,2,110
"Entire home/apt",50,5,2,1,143
"Entire home/apt",1,0,6,2,103
"Entire home/apt",66,5,2,0,127
"Entire home/apt",82,5,4,2,172
"Entire home/apt",87,5,2,1,133
"Entire home/apt",192,5,3,1,88
"Entire home/apt",8,5,8,3,110
"Entire home/apt",50,5,2,1,154
"Entire home/apt",234,4.5,8,2,103
"Entire home/apt",172,5,2,1,125
"Entire home/apt",175,5,4,0,116
"Entire home/apt",20,5,2,1,114
"Entire home/apt",63,5,6,2,90
"Entire home/apt",89,5,2,1,127
"Entire home/apt",12,5,7,2,187
